sampleID,antigen,FMedianBG_correct,Block,Column,Row
SID_gen15,Buffer_5558,-50,29,6,23
SID_gen15,Buffer_5559,2519,29,7,23
SID_gen15,Buffer_5560,-117,29,8,23
SID_gen15,Buffer_5566,24,29,6,24
SID_gen15,Buffer_5567,206,29,7,24
SID_gen15,Buffer_5568,-58,29,8,24
SID_gen15,Buffer_5737,17,30,1,22
SID_gen15,Buffer_5738,51,30,2,22
SID_gen15,Buffer_5739,135,30,3,22
SID_gen15,Buffer_5740,7807,30,4,22
SID_gen15,Buffer_5741,18995,30,5,22
SID_gen15,Buffer_5742,45756,30,6,22
SID_gen15,Buffer_5745,44,30,1,23
SID_gen15,Buffer_5746,-74,30,2,23
SID_gen15,Buffer_5747,-54,30,3,23
SID_gen15,Buffer_5748,196,30,4,23
SID_gen15,Buffer_5749,1607,30,5,23
SID_gen15,Buffer_5750,5131,30,6,23
SID_gen15,Buffer_5753,72,30,1,24
SID_gen15,Buffer_5754,-81,30,2,24
SID_gen15,Buffer_5755,-48,30,3,24
SID_gen15,Buffer_5756,48,30,4,24
SID_gen15,Buffer_5757,1464,30,5,24
SID_gen15,Buffer_5758,4586,30,6,24
SID_gen16,Buffer_5934,42,31,6,22
SID_gen16,Buffer_5935,2160,31,7,22
SID_gen16,Buffer_5936,42,31,8,22
SID_gen16,Buffer_5942,98,31,6,23
SID_gen16,Buffer_5943,474,31,7,23
SID_gen16,Buffer_5944,-70,31,8,23
SID_gen16,Buffer_5950,365,31,6,24
SID_gen16,Buffer_5951,1198,31,7,24
SID_gen16,Buffer_5952,-74,31,8,24
SID_gen16,Buffer_6121,56,32,1,22
SID_gen16,Buffer_6122,101,32,2,22
SID_gen16,Buffer_6123,155,32,3,22
SID_gen16,Buffer_6124,302,32,4,22
SID_gen16,Buffer_6125,378,32,5,22
SID_gen16,Buffer_6126,1626,32,6,22
SID_gen16,Buffer_6129,85,32,1,23
SID_gen16,Buffer_6130,236,32,2,23
SID_gen16,Buffer_6131,103,32,3,23
SID_gen16,Buffer_6132,188,32,4,23
SID_gen16,Buffer_6133,39138,32,5,23
SID_gen16,Buffer_6134,46521,32,6,23
SID_gen16,Buffer_6137,44,32,1,24
SID_gen16,Buffer_6138,-5,32,2,24
SID_gen16,Buffer_6139,32,32,3,24
SID_gen16,Buffer_6140,154,32,4,24
SID_gen16,Buffer_6141,1206,32,5,24
SID_gen16,Buffer_6142,17509,32,6,24
SID_gen17,Buffer_6318,285,33,6,22
SID_gen17,Buffer_6319,553,33,7,22
SID_gen17,Buffer_6320,-84,33,8,22
SID_gen17,Buffer_6326,268,33,6,23
SID_gen17,Buffer_6327,606,33,7,23
SID_gen17,Buffer_6328,-148,33,8,23
SID_gen17,Buffer_6334,-42,33,6,24
SID_gen17,Buffer_6335,2410,33,7,24
SID_gen17,Buffer_6336,-128,33,8,24
SID_gen17,Buffer_6505,-195,34,1,22
SID_gen17,Buffer_6506,-254,34,2,22
SID_gen17,Buffer_6507,-201,34,3,22
SID_gen17,Buffer_6508,-104,34,4,22
SID_gen17,Buffer_6509,410,34,5,22
SID_gen17,Buffer_6510,6142,34,6,22
SID_gen17,Buffer_6513,-110,34,1,23
SID_gen17,Buffer_6514,-131,34,2,23
SID_gen17,Buffer_6515,290,34,3,23
SID_gen17,Buffer_6516,-78,34,4,23
SID_gen17,Buffer_6517,7949,34,5,23
SID_gen17,Buffer_6518,16999,34,6,23
SID_gen17,Buffer_6521,-92,34,1,24
SID_gen17,Buffer_6522,-69,34,2,24
SID_gen17,Buffer_6523,219,34,3,24
SID_gen17,Buffer_6524,110,34,4,24
SID_gen17,Buffer_6525,2650,34,5,24
SID_gen17,Buffer_6526,5148,34,6,24
SID_gen18,Buffer_6702,16,35,6,22
SID_gen18,Buffer_6703,483,35,7,22
SID_gen18,Buffer_6704,32,35,8,22
SID_gen18,Buffer_6710,849,35,6,23
SID_gen18,Buffer_6711,2283,35,7,23
SID_gen18,Buffer_6712,162,35,8,23
SID_gen18,Buffer_6718,903,35,6,24
SID_gen18,Buffer_6719,3309,35,7,24
SID_gen18,Buffer_6720,569,35,8,24
SID_gen18,Buffer_6889,120,36,1,22
SID_gen18,Buffer_6890,61,36,2,22
SID_gen18,Buffer_6891,598,36,3,22
SID_gen18,Buffer_6892,398,36,4,22
SID_gen18,Buffer_6893,25206,36,5,22
SID_gen18,Buffer_6894,26161,36,6,22
SID_gen18,Buffer_6897,307,36,1,23
