Block,Column,Row,Name,ID,F635 Median,B635,B635 Median,SNR 635,F635 Median - B635,global_BGMedian,minimum_BGMedian,sample,sampleID,sample_array_ID
2,4,1,SPATR,1C5,17425,834,834,3.724,16591,897,639,1,S_g1,1
2,5,1,MSP3,1.00E+05,21738,957,957,3.733,20781,897,639,1,S_g1,1
2,6,1,PF3D7_1136200,1A1,12471,1069,1069,2.28,11402,897,639,1,S_g1,1
2,7,1,PFSEA,1G1,38295,1481,1481,3.975,36814,897,639,1,S_g1,1
2,8,1,Landmark,1C3,65535,6677,6677,2.519,58858,897,639,1,S_g1,1
2,1,2,SERA5,1.00E+01,6391,726,726,1.349,5665,897,639,1,S_g1,1
2,2,2,MSP11,1A3,8685,708,708,1.667,7977,897,639,1,S_g1,1
2,3,2,RIPR,1G3,905,695,695,-0.113,210,897,639,1,S_g1,1
2,4,2,SPATR,1C5,14062,719,719,2.526,13343,897,639,1,S_g1,1
2,5,2,MSP3,1.00E+05,18283,859,859,2.88,17424,897,639,1,S_g1,1
2,6,2,PF3D7_1136200,1A1,11413,1030,1030,1.778,10383,897,639,1,S_g1,1
2,7,2,PFSEA,1G1,33737,1856,1856,2.665,31881,897,639,1,S_g1,1
2,8,2,Landmark,1C3,65535,10065,10065,1.762,55470,897,639,1,S_g1,1
2,1,3,SERA5,1.00E+01,8387,725,725,1.787,7662,897,639,1,S_g1,1
2,2,3,MSP11,1A3,11376,732,732,3.481,10644,897,639,1,S_g1,1
2,3,3,RIPR,1G3,996,693,693,0.105,303,897,639,1,S_g1,1
2,4,3,SPATR,1C5,20164,701,701,5.493,19463,897,639,1,S_g1,1
2,5,3,MSP3,1.00E+05,26823,804,804,4.678,26019,897,639,1,S_g1,1
2,6,3,PF3D7_1136200,1A1,12755,979,979,2.606,11776,897,639,1,S_g1,1
2,7,3,PFSEA,1G1,40158,1250,1250,3.77,38908,897,639,1,S_g1,1
2,8,3,Landmark,1C3,65535,5201,5201,2.349,60334,897,639,1,S_g1,1
2,1,4,AMA1,1.00E+02,33063,751,751,5.111,32312,897,639,1,S_g1,1
2,2,4,SERA9,1A4,1986,759,759,0.146,1227,897,639,1,S_g1,1
2,3,4,MSP7,1G4,5042,720,720,2.957,4322,897,639,1,S_g1,1
2,4,4,PF10_0166,1C6,13280,743,743,4.142,12537,897,639,1,S_g1,1
2,5,4,MSP10,1.00E+06,15168,805,805,3.442,14363,897,639,1,S_g1,1
2,6,4,MSP5,1A2,14524,946,946,3.084,13578,897,639,1,S_g1,1
2,7,4,MTRAP,1G2,1160,1131,1131,-0.157,29,897,639,1,S_g1,1
2,8,4,PF113,1C4,13823,1679,1679,0.465,12144,897,639,1,S_g1,1
2,1,5,AMA1,1.00E+02,27436,798,798,3.987,26638,897,639,1,S_g1,1
2,2,5,SERA9,1A4,1736,791,791,0.081,945,897,639,1,S_g1,1
2,3,5,MSP7,1G4,3986,755,755,1.881,3231,897,639,1,S_g1,1
2,4,5,PF10_0166,1C6,10198,787,787,4.887,9411,897,639,1,S_g1,1
2,5,5,MSP10,1.00E+06,14687,835,835,3.592,13852,897,639,1,S_g1,1
2,6,5,MSP5,1A2,13473,920,920,3.529,12553,897,639,1,S_g1,1
2,7,5,MTRAP,1G2,2464,1024,1024,0.634,1440,897,639,1,S_g1,1
2,8,5,PF113,1C4,12189,1216,1216,3.99,10973,897,639,1,S_g1,1
2,1,6,AMA1,1.00E+02,32803,838,838,4.117,31965,897,639,1,S_g1,1
2,2,6,SERA9,1A4,2072,839,839,0.031,1233,897,639,1,S_g1,1
2,3,6,MSP7,1G4,5772,808,808,8.363,4964,897,639,1,S_g1,1
2,4,6,PF10_0166,1C6,14658,840,840,13.187,13818,897,639,1,S_g1,1
2,5,6,MSP10,1.00E+06,18023,874,874,6.478,17149,897,639,1,S_g1,1
2,6,6,MSP5,1A2,14306,909,909,4.194,13397,897,639,1,S_g1,1
2,7,6,MTRAP,1G2,2208,926,926,0.497,1282,897,639,1,S_g1,1
2,8,6,PF113,1C4,15423,986,986,4.819,14437,897,639,1,S_g1,1
2,1,7,H101,1M1,3983,794,794,0.715,3189,897,639,1,S_g1,1
2,2,7,PF3D7-1431400,1I3,5382,815,815,5.597,4567,897,639,1,S_g1,1
2,3,7,RHOPH3,1O3,2460,811,811,5.023,1649,897,639,1,S_g1,1
2,4,7,MSRP3,1K5,2466,859,859,6.14,1607,897,639,1,S_g1,1
2,5,7,PF13_0125,1M5,1094,902,902,0.376,192,897,639,1,S_g1,1
2,6,7,RH5,1I1,1925,931,931,0.741,994,897,639,1,S_g1,1
2,7,7,SERA4,1O1,8292,940,940,5.469,7352,897,639,1,S_g1,1
2,8,7,AARP,1K3,908,981,981,-0.191,-73,897,639,1,S_g1,1
2,1,8,H101,1M1,3456,756,756,3.598,2700,897,639,1,S_g1,1
2,2,8,PF3D7-1431400,1I3,4410,756,756,2.748,3654,897,639,1,S_g1,1
2,3,8,RHOPH3,1O3,2562,760,760,2.508,1802,897,639,1,S_g1,1
2,4,8,MSRP3,1K5,2363,797,797,11.031,1566,897,639,1,S_g1,1
2,5,8,PF13_0125,1M5,1184,844,844,0.901,340,897,639,1,S_g1,1
2,6,8,RH5,1I1,1858,900,900,0.769,958,897,639,1,S_g1,1
2,7,8,SERA4,1O1,7803,958,958,5.463,6845,897,639,1,S_g1,1
2,8,8,AARP,1K3,1037,1061,1061,0.245,-24,897,639,1,S_g1,1
2,1,9,H101,1M1,4741,751,751,3.05,3990,897,639,1,S_g1,1
2,2,9,PF3D7-1431400,1I3,5561,723,723,4.431,4838,897,639,1,S_g1,1
2,3,9,RHOPH3,1O3,2970,715,715,5.925,2255,897,639,1,S_g1,1
