.id,sampleID,sample_array_ID,antigen,FMedian,BGMedian,FMedianBG_correct,Block,Column,Row,replicate,iden
KK2-05_first,533,1,PF3D7_1401600(PHISTB),65535,11712,53823,2,1,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7-1137300,64777,12078,52699,2,2,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0830500,39925,11316,28609,2,3,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1462300,40221,11139,29082,2,4,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1229300,65535,12060,53475,2,5,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1237900,13590,12870,720,2,6,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1252300,12271,11993,278,2,7,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_0629500_SEG1,41371,10489,30882,2,8,13,1,KK2-05_first
KK2-05_first,533,1,PF3D7_1401600(PHISTB),65535,11877,53658,2,1,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7-1137300,65535,11970,53565,2,2,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0830500,40589,11465,29124,2,3,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1462300,42208,11293,30915,2,4,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1229300,65535,12674,52861,2,5,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1237900,13818,13379,439,2,6,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1252300,12116,11665,451,2,7,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_0629500_SEG1,44375,10520,33855,2,8,14,2,KK2-05_first
KK2-05_first,533,1,PF3D7_1401600(PHISTB),65535,13551,51984,2,1,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7-1137300,65535,15231,50304,2,2,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_0830500,57675,13259,44416,2,3,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1462300,39600,12396,27204,2,4,15,3,KK2-05_first
KK2-05_first,533,1,PF3D7_1229300,65535,13707,51828,2,5,15,3,KK2-05_first
